"filename", "language", "PHP", "HTML", "Markdown", "JavaScript", "JSON", "CSS", "SQL", "SCSS", "XML", "YAML", "comment", "blank", "total"
"d:\IT7099_Project\Exam_Scheduling_Portal\.styleci.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 1, 15
"d:\IT7099_Project\Exam_Scheduling_Portal\README.md", "Markdown", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 21, 67
"d:\IT7099_Project\Exam_Scheduling_Portal\app\Console\Kernel.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 33
"d:\IT7099_Project\Exam_Scheduling_Portal\app\Exceptions\Handler.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 6, 42
"d:\IT7099_Project\Exam_Scheduling_Portal\app\Http\Controllers\ApiController.php", "PHP", 207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 21, 236
"d:\IT7099_Project\Exam_Scheduling_Portal\app\Http\Controllers\Auth\ConfirmPasswordController.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 7, 41
"d:\IT7099_Project\Exam_Scheduling_Portal\app\Http\Controllers\Auth\ForgotPasswordController.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 23
"d:\IT7099_Project\Exam_Scheduling_Portal\app\Http\Controllers\Auth\LoginController.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 12, 58
"d:\IT7099_Project\Exam_Scheduling_Portal\app\Http\Controllers\Auth\RegisterController.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 9, 74
"d:\IT7099_Project\Exam_Scheduling_Portal\app\Http\Controllers\Auth\ResetPasswordController.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 6, 31
"d:\IT7099_Project\Exam_Scheduling_Portal\app\Http\Controllers\Auth\VerificationController.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 7, 43
"d:\IT7099_Project\Exam_Scheduling_Portal\app\Http\Controllers\Controller.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\IT7099_Project\Exam_Scheduling_Portal\app\Http\Controllers\CourseController.php", "PHP", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 91
"d:\IT7099_Project\Exam_Scheduling_Portal\app\Http\Controllers\HomeController.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 29
"d:\IT7099_Project\Exam_Scheduling_Portal\app\Http\Controllers\InvigilatorsController.php", "PHP", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 56
"d:\IT7099_Project\Exam_Scheduling_Portal\app\Http\Controllers\LabsController.php", "PHP", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 75
"d:\IT7099_Project\Exam_Scheduling_Portal\app\Http\Controllers\LinkingController.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 36
"d:\IT7099_Project\Exam_Scheduling_Portal\app\Http\Controllers\ScheduleController.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 41
"d:\IT7099_Project\Exam_Scheduling_Portal\app\Http\Controllers\SettingController.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 26
"d:\IT7099_Project\Exam_Scheduling_Portal\app\Http\Kernel.php", "PHP", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 7, 68
"d:\IT7099_Project\Exam_Scheduling_Portal\app\Http\Middleware\Authenticate.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 4, 27
"d:\IT7099_Project\Exam_Scheduling_Portal\app\Http\Middleware\EncryptCookies.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 18
"d:\IT7099_Project\Exam_Scheduling_Portal\app\Http\Middleware\PreventRequestsDuringMaintenance.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 18
"d:\IT7099_Project\Exam_Scheduling_Portal\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 33
"d:\IT7099_Project\Exam_Scheduling_Portal\app\Http\Middleware\TrimStrings.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 20
"d:\IT7099_Project\Exam_Scheduling_Portal\app\Http\Middleware\TrustHosts.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 21
"d:\IT7099_Project\Exam_Scheduling_Portal\app\Http\Middleware\TrustProxies.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 29
"d:\IT7099_Project\Exam_Scheduling_Portal\app\Http\Middleware\VerifyCsrfToken.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 18
"d:\IT7099_Project\Exam_Scheduling_Portal\app\Models\Course.php", "PHP", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 55
"d:\IT7099_Project\Exam_Scheduling_Portal\app\Models\Exam.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 48
"d:\IT7099_Project\Exam_Scheduling_Portal\app\Models\Lab.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 36
"d:\IT7099_Project\Exam_Scheduling_Portal\app\Models\Major.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"d:\IT7099_Project\Exam_Scheduling_Portal\app\Models\Schedule.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16
"d:\IT7099_Project\Exam_Scheduling_Portal\app\Models\Setting.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"d:\IT7099_Project\Exam_Scheduling_Portal\app\Models\Tutor.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 34
